Topic,Count,Name,Representation,Representative_Docs
59,19,59_vaccines_vaccine_vaccinating_covid,"['vaccines', 'vaccine', 'vaccinating', 'covid', 'pediatric', 'children', 'childrens', 'boosters', 'kids', 'booster']","['A post shared on Facebook allegedly shows a bus advertisement saying Kids Have Strokes Too that was created to normalize pediatric strokes ahead of COVID-19 vaccines becoming available for young children.', 'An image shared on Instagram claims World Health Organization Director-General Tedros Adhanom Ghebreyesus said during a press conference that COVID-19 vaccine boosters are being used to kill children.', 'A video on Instagram allegedly shows World Health Organization (WHO) Director-General, Tedros Ghebryesus, said vaccine boosters were used to kill children.']"
60,19,60_lockdowns_lockdown_pandemicrelated_shutdowns,"['lockdowns', 'lockdown', 'pandemicrelated', 'shutdowns', 'shutdown', 'mortality', 'coercing', 'restrictions', 'governments', 'destruction']","['Musician Ted Nugent questioned why there weren’t lockdowns for COVID one through 18 in a Facebok Live video posted on April 7, 2021.', 'The result of lockdowns has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.', 'Research published in 2022 proved that lockdowns had little to no effect on mortality during the pandemic, but caused devastating effects for society.']"
61,19,61_unvaccinated_vaccinated_covid_hospitalizations,"['unvaccinated', 'vaccinated', 'covid', 'hospitalizations', 'patients', 'hospitalized', 'hospitalised', 'victims', 'hospital', 'doses']","['Unvaccinated people are making the vaccinated people sick and die, but the unvaccinated people are not dead or sick.', '90% of people in hospital with Covid-19 are unvaccinated.', 'From \u2066 @CNN \u2069 : Healthy 40-year-old COVID Victim’s Last Words: “I blame the unvaccinated for this.” So ... about 400 lbs?']"
62,19,62_immunodeficiency_hiv_vaccines_vaccinated,"['immunodeficiency', 'hiv', 'vaccines', 'vaccinated', 'aids', 'vaccineinduced', 'nonvaccinated', 'smallpox', 'immune', 'infections']","['Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.', 'Government data shows the fully vaccinated will develop AIDS by the end of February.', 'Official government reports suggest the fully vaccinated will develop AIDS by the end of the year.']"
63,19,63_coronavirus_pope_vatican_francis,"['coronavirus', 'pope', 'vatican', 'francis', 'viral', 'catholics', 'quarantined', 'prayer', 'positive', 'prayers']","['An article shared on Facebook claims the Vatican confirmed that Pope Francis and two top aides tested positive for the novel 2019 coronavirus.', 'This report says Pope Francis tested positive for novel coronavirus', 'Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.']"
64,19,64_vaccine_immunity_immune_doses,"['vaccine', 'immunity', 'immune', 'doses', 'jabs', 'infect', 'transfection', 'saline', 'pharmaceutical', 'vial']","['The eight week interval between vaccine doses is designed to coincide with the immune system’s reproductive system, so that the second dose can hit the immune system while it’s down.', 'An image shared on Facebook claims any vaccine that needs to be shipped and stored at -80 degrees isn’t a vaccine, but rather a transfection agent used for genetic manipulation.', 'Any vaccine that needs to be stored and shipped at -80 degrees isn’t a vaccine. It’s a transfection agent, kept alive so it can infect your cells and transfer genetic material.']"
65,18,65_uganda_ugandas_ugandan_covid19,"['uganda', 'ugandas', 'ugandan', 'covid19', 'tanzania', 'tanzanias', 'africa', 'quarantined', 'african', 'infections']","['No, cash fines for violating Covid-19 rules not in place in Uganda – beware of fake notice', 'Uganda’s health ministry ‘discussing’ announcement of third Covid-19 death? No, Facebook post fake', 'Janet Museveni, wife of Ugandan president, has Covid-19? No, tweet is fake']"
66,18,66_clotting_clots_clot_bloodclotting,"['clotting', 'clots', 'clot', 'bloodclotting', 'vaccine', 'thrombosis', 'covid19', 'coagulation', 'intravascular', 'blood']","['Covid-19 clots the blood causing thrombosis, stopping blood flow and oxygenating the heart and lungs.', 'The Astrazeneca vaccine in the UK causes blood clots.', ""The FDA said Pfizer's Covid-19 vaccine causes blood clots""]"
67,18,67_influenza_flu_pandemic_1918,"['influenza', 'flu', 'pandemic', '1918', '191820', '1919', 'quarantined', '1920s', 'viral', '1920']","['A letter was written by F. Scott Fitzgerald in 1920 while the author was quarantined in France during the Spanish influenza pandemic.', 'A Facebook post purportedly shows the text of a letter written by author F. Scott Fitzgerald in 1920 during the Spanish Influenza pandemic.', 'A photograph shows a family and their cat wearing masks during the 1918 Spanish flu pandemic.']"
68,17,68_vaccination_vaccine_vaccinate_injection,"['vaccination', 'vaccine', 'vaccinate', 'injection', 'indian', 'vibhag', 'injected', 'injecting', 'india', 'srinivas']","['An important notice, those who have taken the Covid-19 vaccine are eligible to get 5000 Rs from Pradhan Mantri Jan Kalyan Vibhag, click on the link to register.', 'A viral post with a newspaper clipping of headline reading about 40 students admitted after vaccination in Kanpur is shared with a claim that it is the situation soon after injected with Covid-19 vaccine in India.', 'In the joy of record vaccination in the country, free 3 months recharge is being given to all Indian users*. If you have Jio, Airtel or Vi SIM then you can take advantage of this offer. Note: Click on the link given below to get your free recharge. PLEASE NOTE: THIS OFFER IS LIMITED ONLY ON 15 OCTOBER 2021! Hurry up..!']"
69,17,69_covid19_nigerian_nigeria_nigerians,"['covid19', 'nigerian', 'nigeria', 'nigerians', 'lagos', 'nigerias', 'vaccine', 'vaccinate', 'fever', 'virus']","['Yes, Nigeria records Omicron variant of Covid-19 virus, but no evidence yet of elevated heart risk for the vaccinated or overweight', 'No, China has not sent Covid-19 vaccines to Nigeria', 'A Nigeria Centre for Disease Control study shows that over 50% of Nigerians have been exposed to the virus, and have antibodies for Covid-19.']"
70,17,70_omicron_vaccines_vaccinations_vaccinated,"['omicron', 'vaccines', 'vaccinations', 'vaccinated', 'unvaccinated', 'immune', 'infected', 'misleading', 'homeopathic', 'nosodes']","['The omicron variant’s name is evidence the coronavirus pandemic is a hoax.', 'Study shows vaccines make people more likely to catch Omicron variant', 'Misleading Claims About the Omicron Variant and Vaccines']"
71,17,71_covid_covid19_pandemic_victims,"['covid', 'covid19', 'pandemic', 'victims', 'footage', 'bodies', 'video', 'body', 'infected', 'clip']","['This video shows Covid-19 victims in body bags', 'Video shows helicopter dumping bodies of Covid-19 victims into the sea in Mexico', 'Video shows the US dumping bodies of Covid-19 victims']"
72,17,72_hamlin_hamlins_vaccine_vaccinerelated,"['hamlin', 'hamlins', 'vaccine', 'vaccinerelated', 'covid19', 'shot', 'cardiac', 'booster', 'headline', 'died']","[""CNN reported Damar Hamlin's cardiac arrest was due to Covid-19 vaccination"", 'A photo shared on Facebook allegedly shows a CNN headline reporting that Buffalo Bills safety Damar Hamlin’s doctor confirmed that his cardiac arrest was caused by a COVID-19 booster shot.', 'CNN reported that Damar Hamlin’s doctor confirmed his cardiac arrest was caused by a COVID-19 vaccine booster.']"
73,17,73_stimulus_taxes_taxable_irs,"['stimulus', 'taxes', 'taxable', 'irs', 'tax', 'coronaviruscovid19', 'payments', 'aid', 'repay', 'owe']","['Coronavirus stimulus payments, termed Economic Impact Payments, are taxable and could reduce your 2020 tax refund.', 'U.S. millionaires will each receive an average of $1.7 million in stimulus payments via the March 2020 Coronavirus Aid, Relief, and Economic Security (CARES) Act.', 'U.S. citizens married to immigrants will not receive stimulus checks via the March 2020 Coronavirus Aid, Relief, and Economic Security (CARES) Act.']"
74,17,74_coronavirus_outbreak_pandemic_virus,"['coronavirus', 'outbreak', 'pandemic', 'virus', 'infect', 'myanmars', 'myanmar', 'photographs', 'photographed', 'photos']","[""Photos show Myanmar's navy shooting at Bengalis to stop them from entering Myanmar with the novel coronavirus"", 'Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers.', 'A video shared on Facebook more than 24,000 times purportedly shows a kitchen worker blowing into food wrappers during the coronavirus pandemic.']"
75,16,75_miscarriage_miscarriages_miscarried_vaccine,"['miscarriage', 'miscarriages', 'miscarried', 'vaccine', 'vaccines', 'pregnancy', 'miscarry', 'pregnant', 'pregnancies', 'abortion']","['Over 80% of vaccinated pregnant women in a US study experienced miscarriage.', 'A photo shared on Facebook purportedly shows a CBC News article reporting the Food and Drug Administration (FDA) was aware 44% of pregnant women suffering miscarriages during their COVID-19 vaccine trial.', 'A study found an 82% miscarriage rate among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.']"
76,16,76_covid_mortality_deaths_cdc,"['covid', 'mortality', 'deaths', 'cdc', 'covidrelated', 'disease', 'prevention', 'tragedies', 'death', 'health']","['CDC illegally changed mortality count rules and inflated Covid-19 death toll', 'The CDC quietly updated its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.', 'Colorado just REDUCED their Covid death toll from 1150 to 878 after their Department of Health ADMITTED they were counting those who tested positive for the virus but died from OTHER CAUSES!']"
77,16,77_nigeria_nigerian_lagos_nigerias,"['nigeria', 'nigerian', 'lagos', 'nigerias', 'covid19', 'africas', 'billion', 'fund', 'investment', 'debt']","['No, Nigerian govt not giving N30,000 Covid-19 relief to each citizen', ""No, Nigeria didn't lose N700 billion Covid-19 relief funds in fire"", 'An image shared on Facebook claims the Nigerian government lost 700 billion naira from a COVID-19 relief fund to a fire.']"
78,15,78_patent_coronavirus_patented_covid19,"['patent', 'coronavirus', 'patented', 'covid19', 'virus', 'vaccine', 'scam', 'issued', 'claims', 'institute']","['A post shared on Facebook claims a patent for a COVID-19 testing system was issued in 2015.', 'COVID-19 testing patent was submitted in 2015 and COVID19 is a scam', 'COVID-19 Testing Patent Was Submitted In 2015']"
79,15,79_schools_2020_students_education,"['schools', '2020', 'students', 'education', 'school', 'devos', 'mitigation', 'elementary', 'student', 'outbreaks']","['An image shared on Facebook claims Secretary of Education Betsy DeVos said that only 0.02 percent of children returning to school would likely die from COVID-19.', ""In July 2020, U.S. Education Secretary Betsy DeVos said only .02% of the country's K-12 school students — totaling 14,740 children and teens — are likely to die from COVID-19 when and if schools fully reopen."", 'In response to a question in a July 2020 CNN interview about what would happen if a COVID-19 outbreak occurred in schools, U.S. Education Secretary Betsy DeVos said, You can’t plan for something that hasn’t happened yet.']"
80,15,80_vaccinations_vaccination_vaccine_coronavirus,"['vaccinations', 'vaccination', 'vaccine', 'coronavirus', 'deaths', 'covid19', 'children', 'mortality', 'senegal', 'kids']","['Seven children in Senegal died after being given a vaccine for coronavirus', 'An image shared on Facebook purportedly shows a tweet from New South Wales (NSW) Chief Health Officer Kerry Chant celebrating that only three deaths were associated with the COVID-19 vaccine rollout for children.', 'New South Wales Chief Health Officer Dr. Kerry Chant celebrated the COVID-19 vaccine rollout in New South Wales saying that it only resulted in the death of three children.']"
81,15,81_vaccines_vaccine_vaccinations_vaccinated,"['vaccines', 'vaccine', 'vaccinations', 'vaccinated', 'covidvaccinated', 'viral', 'covid19', 'illnesses', 'proteins', 'immunologist']","[""When children are given vaccines for COVID-19, a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs."", 'Covid-19 vaccines are not safe because they contain spike proteins which could be harmful', 'Children are more likely to produce more harmful spike proteins after they’ve been vaccinated.']"
82,15,82_vaccines_vaccine_immune_formaldehyde,"['vaccines', 'vaccine', 'immune', 'formaldehyde', 'flu', 'antibiotic', 'ingredients', 'phenoxyethanol', 'cancer', 'allergic']","['Phenol / phenoxyethanol is in vaccines and is used as antifreeze. It is toxic to all cells and can destroy the immune system.', 'Formaldehyde is in vaccines and causes cancer in humans among other issues and is banned from vaccines in most European countries.', 'Flu vaccines contain mercury, antifreeze, phenol, animal blood, animal viruses, formaldehyde']"
83,15,83_vaccine_vaccination_nurse_covid,"['vaccine', 'vaccination', 'nurse', 'covid', 'died', 'nurses', 'covid19', 'infectious', 'death', 'fainted']","['A nurse in Alabama died after receiving a vaccination for the COVID-19 coronavirus disease in December 2020.', 'A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.', 'A post shared on Facebook claims Tiffany Dover, a Tennessee nurse manager who fainted after receiving her first COVID-19 vaccine dose, has died.']"
84,15,84_budweiser_corona_beer_budlightvirus,"['budweiser', 'corona', 'beer', 'budlightvirus', 'brewery', 'drinks', 'alcohol', 'drink', 'boycott', 'bartenders']","[""A full 38 percent of Americans won't drink Corona beer under any circumstances in February 2020 because they fear coronavirus."", 'Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.', 'The Daily Mail published an article Feb. 28 with the headline claiming a survey found 38 percent of Americans won’t drink Corona beer as coronavirus fear sparks Corona BEER boycott.']"
85,15,85_vaccine_vaccinations_russia_russian,"['vaccine', 'vaccinations', 'russia', 'russian', 'russians', 'putin', 'putins', 'russias', 'sputnikv', 'vladimir']","['Putin’s Flack Misleads on Russian Vaccine Phobia', ""A Russian health official recommended that people being vaccinated with Russia's Sputnik V Covid-19 vaccine abstain from drinking for two weeks before the first shot and 42 days after it."", 'An image shared on Facebook purportedly shows a press release from the Russian Embassy in Kenya talking about three companies overpricing Sputnik V COVID-19 vaccines in Kenya.']"
86,15,86_covid_covid19_coronavirus_tested,"['covid', 'covid19', 'coronavirus', 'tested', 'infection', 'tests', 'testing', 'test', 'flow', 'positive']","['Ketchup tested positive for Covid-19 using a lateral flow test.', 'An orange has tested positive for Covid-19 using a lateral flow test.', 'Tap water can return a positive lateral flow test result for Covid-19.']"
87,14,87_autism_vaccine_vaccines_vaccinate,"['autism', 'vaccine', 'vaccines', 'vaccinate', 'measles', 'pertussis', 'dtap', 'fda', 'mmr', 'cdc']","['The FDA published conclusive proof in November 2017 that the Diphtheria, Tetanus, Pertussis (DTaP) vaccine causes autism .', 'Courts have quietly confirmed MMR vaccine causes autism', 'Courts have quietly confirmed that the MMR vaccine causes autism.']"
88,14,88_vaccines_vaccine_unprotected_pfizer,"['vaccines', 'vaccine', 'unprotected', 'pfizer', 'breastfeeding', 'pregnant', 'pregnancy', 'prevention', 'shots', 'risk']","['mRNA vaccines are not recommended for pregnant women or those who are breastfeeding.', 'Pfizer vaccine page 132 warns not to have unprotected sex for 28 days after the second dose of the COVID-19 vaccine because genetic manipulation may cause birth defects.', 'You are not meant to have unprotected sex after a second dose of the Pfizer Covid-19 vaccine as it could cause birth defects due to genetic manipulation.']"
89,14,89_vaccine_influenza_flu_vaccinations,"['vaccine', 'influenza', 'flu', 'vaccinations', 'coronavirus', 'epidemic', 'outbreak', 'flumist', 'virus', 'infections']","['Flu vaccine is more deadly than coronavirus', 'FluMist, a flu vaccine delivered as a nasal mist, poses a greater risk to the public than the flu virus itself.', 'A Centers for Disease Control and Prevention doctor said the flu vaccine is causing the deadly flu epidemic.']"
90,14,90_thai_thailand_bangkok_thailands,"['thai', 'thailand', 'bangkok', 'thailands', 'pandemic', 'coronavirus', 'laos', 'vaccinated', 'covid19', 'vaccines']","['Thai king chanting Islamic invocation to get rid of coronavirus', 'Thai king summons Muslim clerics to pray to get rid of Covid-19', 'Thai PM receive 4 Covid-19 jabs']"
91,14,91_coronavirus_flu_virus_children,"['coronavirus', 'flu', 'virus', 'children', 'infected', 'risk', 'kids', 'dangerous', 'symptoms', 'families']","['The NHS has issued a letter saying that some children infected with coronavirus have been exhibiting symptoms similar to toxic shock syndrome.', 'The seasonal cold and flu is actually more dangerous for kids than the Coronavirus and there is very low transmissibility from children to their families and communities.', 'To children and the vast majority of young and middle-aged adults and the vast majority of teachers, (the coronavirus) poses virtually zero threat.']"
92,13,92_ivermectin_covid_covid19_vaccine,"['ivermectin', 'covid', 'covid19', 'vaccine', 'vaccines', 'japan', 'japanese', 'pandemic', 'halted', 'treatment']","['Japan stopped its vaccine rollout, treated people with ivermectin and ended Covid-19 almost overnight.', 'Japan drops vax rollout, goes to Ivermectin, ENDS COVID almost overnight.', 'Japan drops vax rollout, goes to Ivermectin, ENDS COVID almost overnight']"
93,13,93_mercurycontaining_mercury_vaccine_vaccines,"['mercurycontaining', 'mercury', 'vaccine', 'vaccines', 'toxic', 'poisoning', 'diseases', 'unsafe', 'cancer', 'aluminium']","['Mercury (aka thimerosal or thiomersal) is in vaccines and can damage brain, gut, liver, bone marrow, nervous system and kidneys, is linked to autoimmune disorder, autism.', 'No, mercury and aluminium are not toxic when used in vaccines', 'Mercury is used in vaccines, and there is no safe level of mercury.']"
94,13,94_graphene_vaccine_vaccines_vaccinated,"['graphene', 'vaccine', 'vaccines', 'vaccinated', 'nanoparticles', 'covid', 'ingredients', 'oxide', 'pfizer', 'nanochips']","['A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.', 'The Covid-19 vaccines contain graphene oxide.', 'The Pfizer vaccine is 99% graphene oxide.']"
95,13,95_insurance_covid_healthinsurance_covid19related,"['insurance', 'covid', 'healthinsurance', 'covid19related', 'vaccine', 'vaccination', 'immunization', 'immunized', 'policyholders', 'copayments']","['Life insurance policies are being invalidated for people who receive a COVID-19 vaccine.', 'Life insurance companies will not pay claims if a person dies after vaccination against Covid-19', 'Australian companies stop offering life insurance due to Covid-19 vaccines']"
96,13,96_covid19_tested_positive_vaxxed,"['covid19', 'tested', 'positive', 'vaxxed', 'test', 'epstein', 'ghebreyesus', 'jeffrey', 'offender', 'ghislaine']","['On Sept. 18, 2020, Twitter user @JohnCammo predicted that U.S. President Donald Trump would announce in October that he had tested positive for COVID-19.', 'Jeffrey Epstein associate Ghislaine Maxwell has tested positive for COVID-19 in a New Hampshire jail.', 'An image shared on Facebook more than 1,100 times claims the late convicted sex offender Jeffrey Epstein’s associate Ghislaine Maxwell recently tested positive for COVID-19 in a New Hampshire jail.']"
97,13,97_vaccines_vaccine_covid19_immune,"['vaccines', 'vaccine', 'covid19', 'immune', 'influenza', 'unvaccinated', 'gene', 'mrna', 'antibodies', 'disease']","['mRNA Covid-19 vaccines are unsafe gene therapy', 'The mRNA COVID-19 vaccines are really gene therapy.', 'The mRNA Covid-19 vaccines are gene therapy.']"
98,12,98_vaccines_vaccine_covidvaccinated_covid,"['vaccines', 'vaccine', 'covidvaccinated', 'covid', 'covid19', 'foetuses', 'foetus', 'aborted', 'fetus', 'cells']","['MRC-5 cells taken from an aborted fetus contained in AstraZeneca COVID-19 vaccine', 'Aborted male foetal cells called MRC-5 are in the Covid-19 vaccine.', 'The Pfizer COVID-19 vaccine contains cells from an aborted fetus.']"
99,12,99_vaccines_vaccination_immune_vaccinated,"['vaccines', 'vaccination', 'immune', 'vaccinated', 'overvaccination', 'coronaviruses', 'infecting', 'antibody', 'diseases', 'covid19']","['Covid-19 vaccines weaken your immune system.', 'Vaccines send the immune system into perpetual overdrive by instructing cells to keep making the protein of an invader, nonstop, forever and ever.', 'Covid-19 vaccines weaken your immune system and make it harder for your body to fight the disease.']"
100,12,100_vaccine_vaccination_vaccines_vaccinations,"['vaccine', 'vaccination', 'vaccines', 'vaccinations', 'korea', 'koreans', 'korean', 'influenza', 'koreas', 'unvaccinated']","[""Unvaccinated voters will be barred from South Korea's next presidential election"", ""A hundred 'flu vaccine deaths' in South Korea"", 'Kim Kyoung-soo, governor of South Korea’s South Gyeongsang province, receives a Covid-19 vaccine shot on his jacket']"
101,12,101_covid_covid19_coronavirus_hospitalized,"['covid', 'covid19', 'coronavirus', 'hospitalized', 'hospital', 'patients', 'deaths', 'virus', '2021', 'tested']","['As of early December 2021, no one worldwide who tested positive for the omicron variant of the coronavirus had died.', 'There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.', 'There were no new daily Covid-19 cases reported in several UK nations and regions on April 29.']"
102,11,102_ibuprofen_covid19_anticoagulants_infection,"['ibuprofen', 'covid19', 'anticoagulants', 'infection', 'paracetamol', 'aspirin', 'infections', 'povidone', 'fever', 'antibiotics']","['Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections.', 'People with Covid-19 should not take ibuprofen', 'Fenugreek Seed Tape Can Cure Throat Infection During COVID-19']"
103,11,103_covid19_madagascar_coronavirus_covidorganics,"['covid19', 'madagascar', 'coronavirus', 'covidorganics', 'cure', 'cures', 'madagascars', 'treatment', 'viral', 'aid']","['A viral Instagram post claims Madagascan President Andry Rajoelina said the World Health Organization (WHO) offered him a $20 million bribe to poison an alleged COVID-19 cure.', 'No, Madagascar president didn’t say in interview that WHO offered him $20m to poison Covid-19 remedy', 'A post shared on Facebook claims President Donald Trump approved $2.5 million for the mass production of the herbal tonic touted by Madagascar’s president as a COVID-19 remedy.']"
104,11,104_malaysia_malaysian_malaysians_covid,"['malaysia', 'malaysian', 'malaysians', 'covid', 'covid19', 'pandemic', 'vaccinations', 'vaccination', 'refugees', 'vaccine']","['Malaysia gets hajj quota during the pandemic', 'Malaysia mandating second Covid booster ahead of Chinese tourist influx', 'US cardiologist Dr Peter McCullough exposes truth about Covid-19 vaccinations to Malaysia']"
105,11,105_lanka_lankan_lankas_sri,"['lanka', 'lankan', 'lankas', 'sri', 'covid19', 'vaccine', 'vaccines', 'pandemic', 'cricket', 'highest']","['Sri Lanka is the first South Asian nation to receive Pfizer vaccines', ""Sri Lanka ranked having the world's fifth strongest Covid-19 response by WHO"", 'WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response']"
106,11,106_vaccines_strep_vaccine_streptococcal,"['vaccines', 'strep', 'vaccine', 'streptococcal', 'flu', 'infections', 'fever', 'outbreak', 'nasal', 'covid19']","['Nasal flu vaccines given to children contain strep A.', 'A study published in 2014 children’s nasal flu vaccines can cause strep A infections.', 'The new nasal flu vaccine is linked to strep A cases.']"
107,10,107_coronavirus_nigeria_lagos_nigerian,"['coronavirus', 'nigeria', 'lagos', 'nigerian', 'nigerias', 'virus', 'fever', 'disease', 'corona', 'africa']","['Empty isolation centre in Nigeria’s Kano state means coronavirus is a ‘lie’? No, video misleading', 'MAN WHO DROVE WHITE MAN TO COMPANY IN OGUN STATE DIAGNOSED WITH CORONA VIRUS, RUNS AWAY FROM HOSPITAL AND THREATENS TO SPREAD THE VIRUS ALL OVER NIGERIA', 'Coronavirus in Lagos, Nigeria? No, doctored story copied from report on Lassa fever in Kogi']"
108,10,108_burial_burying_buried_covid19,"['burial', 'burying', 'buried', 'covid19', 'autopsy', 'memorial', 'bury', 'pandemic', 'graves', 'incinerated']","['Images show COVID-19 victims being buried in mass graves in New York City.', 'New York City is planning mass graves (or temporary mass graves) for COVID-19 victims in Central Park (and other public parks.)', 'Images show mass graves being dug in New York to bury victims of the COVID-19 coronavirus disease pandemic in 2020.']"
109,10,109_vaccines_vaccination_vaccine_covid,"['vaccines', 'vaccination', 'vaccine', 'covid', 'covid19', 'africa', 'africas', 'african', 'patients', 'trial']","['South Africa has expertise in the development and trial of a range of vaccines', 'Yes, graphic showing vaccination status of Covid patients at South Africa’s Groote Schuur hospital is authentic', ""Yes, Africa's first Covid-19 vaccine trial has started in South Africa""]"
110,10,110_covid19_covid_means_latin,"['covid19', 'covid', 'means', 'latin', 'viral', 'infectious', 'virus', 'vaccination', 'sheep', 'disease']","[""COVID-19 Means 'See A Sheep Surrender' In Latin"", 'COVID-19 means see a sheep surrender in Latin', 'An image shared on Facebook claims the acronym COVID in COVID-19 stands for Chinese Originated Viral Infectious Disease and the number 19 represents it being the 19th virus to come out of China.']"
